GridSize;seed;l;alpha;lambda;beta;type;SNorm;SNormTapered;SNormSeparTapered
10;95;1;1;10;1;rectangular;5.962185378;6.393377659;7.142696178
10;96;1;1;10;1;rectangular;5.170064683;6.137635051;6.871344024
10;97;1;1;10;1;rectangular;8.811427411;4.971961498;5.007250032
10;98;1;1;10;1;rectangular;7.136799885;7.988710194;9.000603571
10;99;1;1;10;1;rectangular;9.633862769;8.554187537;9.454333589
10;100;1;1;10;1;rectangular;9.937404189;9.673134776;10.28836909
20;1;1;1;6;1;rectangular;6.569844177;8.073040155;9.137793431
20;2;1;1;6;1;rectangular;14.34420601;6.585101483;7.238412581
20;3;1;1;6;1;rectangular;8.160970023;8.477883683;9.583246898
20;4;1;1;6;1;rectangular;7.754708425;7.703215918;8.946672291
20;5;1;1;6;1;rectangular;6.431449344;7.602042656;8.564737667
20;6;1;1;6;1;rectangular;9.055391305;7.129692944;8.176867286
20;7;1;1;6;1;rectangular;11.53633986;5.984168975;6.621497434
20;8;1;1;6;1;rectangular;9.227592104;7.336779841;8.4295202
20;9;1;1;6;1;rectangular;8.639160427;8.208952416;9.074144812
20;10;1;1;6;1;rectangular;7.367306453;8.301504963;9.346497658
20;11;1;1;6;1;rectangular;8.370286601;7.851049943;9.1101693
20;12;1;1;6;1;rectangular;8.287871567;7.921763882;9.120648095
20;13;1;1;6;1;rectangular;9.296417508;7.829347688;8.799130814
20;14;1;1;6;1;rectangular;10.22159385;6.783012164;7.919876598
20;15;1;1;6;1;rectangular;6.419785794;7.710152144;8.97061181
20;16;1;1;6;1;rectangular;8.944301296;7.708474182;8.765626484
20;17;1;1;6;1;rectangular;7.396603024;7.260772908;8.136116253
20;18;1;1;6;1;rectangular;10.91801443;6.306508013;6.805860256
20;19;1;1;6;1;rectangular;9.437272687;8.084264585;9.200782605
20;20;1;1;6;1;rectangular;10.24034685;7.070829558;8.32190226
20;21;1;1;6;1;rectangular;7.546218177;7.086279205;8.024106974
20;22;1;1;6;1;rectangular;12.56155256;6.906025705;8.158820743
20;23;1;1;6;1;rectangular;8.726471893;7.938436393;9.241418519
20;24;1;1;6;1;rectangular;9.954281307;8.601225602;9.812698543
20;25;1;1;6;1;rectangular;6.39619601;7.561424679;8.609554827
20;26;1;1;6;1;rectangular;6.862141078;6.683640613;7.711616468
20;27;1;1;6;1;rectangular;9.809399002;6.780152379;7.345233952
20;28;1;1;6;1;rectangular;11.32150187;6.724328443;7.741264911
20;29;1;1;6;1;rectangular;10.6372541;7.345750235;8.266354891
20;30;1;1;6;1;rectangular;8.794425052;7.367264407;8.372537643
20;31;1;1;6;1;rectangular;9.123393188;8.091830513;9.166461827
20;32;1;1;6;1;rectangular;7.709114095;8.446475685;9.683963223
20;33;1;1;6;1;rectangular;9.319008378;7.868005789;8.928946117
20;34;1;1;6;1;rectangular;8.902373472;8.08002455;9.067398364
20;35;1;1;6;1;rectangular;12.03278236;6.692690214;7.67741115
20;36;1;1;6;1;rectangular;5.747425208;7.791488532;8.84778385
20;37;1;1;6;1;rectangular;9.163271938;7.62091134;8.407909114
20;38;1;1;6;1;rectangular;9.470486039;8.201042108;9.341100392
20;39;1;1;6;1;rectangular;7.033275673;8.439685198;9.564033286
20;40;1;1;6;1;rectangular;8.690208736;7.043473608;8.164531569
20;41;1;1;6;1;rectangular;8.198926592;6.857414959;7.740825329
20;42;1;1;6;1;rectangular;12.03361926;7.114058053;7.978961354
20;43;1;1;6;1;rectangular;6.952631348;7.31047298;8.2891581
20;44;1;1;6;1;rectangular;7.407109975;6.540188041;7.374043444
20;45;1;1;6;1;rectangular;16.53863829;8.022229186;8.912924202
20;46;1;1;6;1;rectangular;4.48162265;7.369366986;8.327615329
20;47;1;1;6;1;rectangular;7.679171926;7.724638835;8.710411809
20;48;1;1;6;1;rectangular;21.88820453;5.707369686;6.243015578
20;49;1;1;6;1;rectangular;9.031440308;7.198667489;8.040410223
20;50;1;1;6;1;rectangular;9.188701818;7.830938526;9.008767077
20;51;1;1;6;1;rectangular;10.07379955;7.086202086;8.220776813
20;52;1;1;6;1;rectangular;12.2283631;7.365661347;8.613979671
20;53;1;1;6;1;rectangular;5.24816532;7.441871775;8.634130034
20;54;1;1;6;1;rectangular;11.18020465;7.003734696;8.020642411
20;55;1;1;6;1;rectangular;6.012749561;7.346392051;8.505439409
20;56;1;1;6;1;rectangular;8.23119454;8.684336727;9.789711545
20;57;1;1;6;1;rectangular;18.51067265;4.809611559;4.565396867
20;58;1;1;6;1;rectangular;10.1000259;7.236745918;8.317801391
20;59;1;1;6;1;rectangular;9.662891075;6.900747038;7.928851088
20;60;1;1;6;1;rectangular;7.486949817;7.677664049;8.8930664
20;61;1;1;6;1;rectangular;7.394909553;7.965966457;9.023390564
20;62;1;1;6;1;rectangular;17.6939062;7.053609742;8.264262146
