"","GridSize","seed","alpha","lambda","beta","type","SNorm","SNormTapered","SNormSeparTapered","L1Selected","L2Selected"
"1245",50,45,1,2,0,"rectangular",18.9799795690377,2.85360291938297,2.61102794887195,5,7
"1246",50,46,1,2,0,"rectangular",19.3812219030866,4.05426363897599,1.04171040204119,6,6
"1247",50,47,1,2,0,"rectangular",17.7943381574785,5.11656995378544,3.97819214946709,5,5
"1248",50,48,1,2,0,"rectangular",28.1598315554084,7.32734705593213,2.11192618042672,7,6
"1249",50,49,1,2,0,"rectangular",26.2335034018576,4.32323255316773,4.54010940403946,6,7
"1250",50,50,1,2,0,"rectangular",12.9940528746944,6.01492624830778,4.952823208507,4,5
"1251",50,51,1,2,0,"rectangular",15.7356426524925,1.89150172056784,2.23691907937107,6,6
"1252",50,52,1,2,0,"rectangular",21.6257755229857,2.89917163709941,3.20885877221248,6,6
"1253",50,53,1,2,0,"rectangular",11.825480265359,2.81472240038495,3.26870552654919,7,5
"1254",50,54,1,2,0,"rectangular",20.7433718070016,2.85607776519837,1.53238954561025,6,5
"1255",50,55,1,2,0,"rectangular",10.8160148568275,3.57738610326116,3.95182071223405,6,5
"1256",50,56,1,2,0,"rectangular",14.394917781047,9.70123697480639,8.16093953203763,5,4
"1257",50,57,1,2,0,"rectangular",48.6915726406733,12.4239422638296,9.73856373180579,6,7
"1258",50,58,1,2,0,"rectangular",12.0193717738374,3.70413239457082,4.70317339024158,5,6
"1259",50,59,1,2,0,"rectangular",11.7306944149378,5.21445575207084,5.27320735292875,5,6
"1260",50,60,1,2,0,"rectangular",14.8111281412668,5.29917894470308,3.59592102205761,5,6
"1261",50,61,1,2,0,"rectangular",12.7649954416929,3.31317807825493,2.98759808055611,5,6
"1262",50,62,1,2,0,"rectangular",12.6123933382275,2.47763872096971,2.31392181974202,4,6
"1263",50,63,1,2,0,"rectangular",16.2648737475407,2.3210338596833,2.11781413108927,6,5
"1264",50,64,1,2,0,"rectangular",17.7668146087623,2.27533783356274,1.52974032447226,6,5
"1265",50,65,1,2,0,"rectangular",51.9019390028656,6.65226275441843,4.61960636096657,7,5
"1266",50,66,1,2,0,"rectangular",13.1946439148261,6.70224213880524,6.58948175902717,4,5
"1267",50,67,1,2,0,"rectangular",13.3145098045771,4.71826652575813,4.73432599974075,5,5
"1268",50,68,1,2,0,"rectangular",14.2444363445786,7.78184557749737,6.14355870096886,7,4
"1269",50,69,1,2,0,"rectangular",15.7178526503334,3.82929310398804,4.28508959397167,6,6
"1270",50,70,1,2,0,"rectangular",12.3615393792929,6.91913082847341,7.74607778247054,5,4
"1271",50,71,1,2,0,"rectangular",15.8944316326385,4.52504490437918,3.95879528599322,5,5
"1272",50,72,1,2,0,"rectangular",15.5837156593694,5.09009119779097,2.97616733319506,5,5
"1273",50,73,1,2,0,"rectangular",25.7426387756938,5.02157500951304,3.37655416049646,7,5
"1274",50,74,1,2,0,"rectangular",16.5001184597786,5.56939018129052,2.02629368376055,9,8
"1275",50,75,1,2,0,"rectangular",29.3003511412389,5.44039540800143,5.27812958953941,6,11
"1276",50,76,1,2,0,"rectangular",14.6444188631479,8.98230819407887,8.1564097877171,4,6
"1277",50,77,1,2,0,"rectangular",20.6380125812869,1.84942056901847,1.47581129561923,6,5
"1278",50,78,1,2,0,"rectangular",19.0953276666905,2.37299374172617,1.97478500587137,6,4
"1279",50,79,1,2,0,"rectangular",38.3616419350993,4.19744167067495,3.55465132138726,5,6
"1280",50,80,1,2,0,"rectangular",16.4739667124903,5.70408469234429,3.67937363203019,5,5
"1281",50,81,1,2,0,"rectangular",18.5434343687135,5.0127421159959,5.38523847204839,4,7
"1282",50,82,1,2,0,"rectangular",11.4011753257172,4.91213557108393,5.31811388309011,6,5
"1283",50,83,1,2,0,"rectangular",14.2799554830421,3.27875352517988,1.87927635442793,5,5
"1284",50,84,1,2,0,"rectangular",29.6583872300769,3.47275423223405,5.52314876245714,6,6
"1285",50,85,1,2,0,"rectangular",25.3242111298333,5.44844696038642,2.25753133223685,6,9
"1286",50,86,1,2,0,"rectangular",15.7324425257157,9.2026591805139,8.81424517602456,5,8
"1287",50,87,1,2,0,"rectangular",18.8231370567118,3.13005699816943,2.64003095478261,6,6
"1288",50,88,1,2,0,"rectangular",28.3939188324161,4.74572077050636,1.73273237263338,10,7
"1289",50,89,1,2,0,"rectangular",24.092718316744,3.76057007606125,3.76906005157553,8,5
"1290",50,90,1,2,0,"rectangular",10.8331281277882,4.93584207028124,4.45684213375752,5,5
"1291",50,91,1,2,0,"rectangular",23.0182354264256,5.07165825695378,4.38979917152751,5,6
"1292",50,92,1,2,0,"rectangular",17.48664898235,2.99443268861708,1.60048590787544,6,7
"1293",50,93,1,2,0,"rectangular",14.3629620329314,2.35728563537044,3.46533456969453,5,5
"1294",50,94,1,2,0,"rectangular",17.8976287227643,1.76716961087489,2.46965370165888,5,6
"1295",50,95,1,2,0,"rectangular",24.338304792579,3.51855807516917,1.97997014997962,6,7
"1296",50,96,1,2,0,"rectangular",24.3677778505304,4.99930330237084,3.73207241734981,6,5
"1297",50,97,1,2,0,"rectangular",26.5658676299749,5.11687035327564,2.58283935302481,6,9
"1298",50,98,1,2,0,"rectangular",34.3151771385994,9.57109658546072,5.6167609115476,7,10
"1299",50,99,1,2,0,"rectangular",43.4935896613632,14.687768364644,6.69000402381537,14,7
"1300",50,100,1,2,0,"rectangular",15.1938915377986,11.4716681421088,8.08275073112536,9,4
"1301",50,1,1,4,0,"rectangular",50.2640514298205,41.6000435002948,32.7741488273622,17,11
"1302",50,2,1,4,0,"rectangular",28.5351156258636,20.048814583877,9.79239930504424,12,9
"1303",50,3,1,4,0,"rectangular",52.8953339094294,39.321839653613,39.6759319371733,8,6
"1304",50,4,1,4,0,"rectangular",33.7770670896863,19.0291122277305,22.9039464951392,9,16
"1305",50,5,1,4,0,"rectangular",55.7518797393502,25.9463426239368,15.5747195217743,9,19
"1306",50,6,1,4,0,"rectangular",39.8015311782209,18.9764856382184,16.058204325585,10,8
"1307",50,7,1,4,0,"rectangular",51.2234378343323,14.1574065578473,12.186768805233,10,13
"1308",50,8,1,4,0,"rectangular",66.662172310453,22.0985857837367,14.581733489494,7,10
"1309",50,9,1,4,0,"rectangular",58.279152574418,26.2572948432814,24.6451373881261,7,13
"1310",50,10,1,4,0,"rectangular",37.1269329514778,30.1236620526741,29.3851306545528,10,7
"1311",50,11,1,4,0,"rectangular",41.5021749587768,17.8569629215196,25.4233104543563,7,13
"1312",50,12,1,4,0,"rectangular",33.4706682045991,18.7758783232665,27.887238583416,10,12
"1313",50,13,1,4,0,"rectangular",35.9410086789646,19.7484780172167,21.948155645594,14,7
"1314",50,14,1,4,0,"rectangular",79.7019834180394,34.0691240233254,11.5875966889186,22,11
"1315",50,15,1,4,0,"rectangular",31.3649576765332,25.6478193205844,21.4026793150573,9,19
"1316",50,16,1,4,0,"rectangular",40.4639544229138,23.9314412153023,18.0434133879824,9,16
"1317",50,17,1,4,0,"rectangular",52.6093051124566,33.9798931615642,27.4000960808246,8,6
"1318",50,18,1,4,0,"rectangular",80.1897169456,17.598014792711,19.6697674021065,11,12
"1319",50,19,1,4,0,"rectangular",51.6447937709373,47.7313644355076,37.1441814907766,10,9
"1320",50,20,1,4,0,"rectangular",79.603653637023,17.6893776161657,9.87568689367684,10,16
"1321",50,21,1,4,0,"rectangular",77.627980276956,12.5392491986548,6.07348183651301,11,11
"1322",50,22,1,4,0,"rectangular",56.2039660587226,18.8624680797906,11.244415327131,16,9
"1323",50,23,1,4,0,"rectangular",34.3097440017439,21.4397203447629,25.7828271564035,21,8
"1324",50,24,1,4,0,"rectangular",52.0783224373024,40.3840555486022,37.8289835773321,7,7
"1325",50,25,1,4,0,"rectangular",41.2323114545224,15.8653040729747,14.4539554874932,12,8
"1326",50,26,1,4,0,"rectangular",42.2634971379143,33.6312819321671,17.950608098643,10,10
"1327",50,27,1,4,0,"rectangular",51.6839180792686,13.0264814524428,14.7422584977743,8,10
"1328",50,28,1,4,0,"rectangular",33.6719585694358,9.92395917910262,10.9271063555436,12,15
"1329",50,29,1,4,0,"rectangular",47.4713160565746,12.1289448619852,10.9617772956487,7,11
"1330",50,30,1,4,0,"rectangular",48.8443423281876,15.5859509876233,13.890030301325,7,15
"1331",50,31,1,4,0,"rectangular",40.3629999174515,18.1813448831804,18.9750393135145,11,18
"1332",50,32,1,4,0,"rectangular",42.2668150121264,39.1560200084337,42.6953252681889,7,13
"1333",50,33,1,4,0,"rectangular",36.7849206850733,21.4916446760056,26.7257717250349,12,10
"1334",50,34,1,4,0,"rectangular",40.2986062085504,32.171900113757,29.584869834415,9,6
"1335",50,35,1,4,0,"rectangular",41.8864827164468,22.587407640131,17.3412128606002,9,10
"1336",50,36,1,4,0,"rectangular",37.4851018943822,20.0005811970053,23.215280943468,7,14
"1337",50,37,1,4,0,"rectangular",47.1699285872255,46.7929075207612,33.1633543565415,7,20
"1338",50,38,1,4,0,"rectangular",36.9207335956716,24.4105387290466,29.9822008405936,15,9
"1339",50,39,1,4,0,"rectangular",39.2784503625702,36.7441397853224,37.6805681176164,9,6
"1340",50,40,1,4,0,"rectangular",49.904067353246,22.2737021473437,19.2385394791161,7,9
"1341",50,41,1,4,0,"rectangular",46.0086049280573,14.2066957655052,5.65247311468734,10,16
"1342",50,42,1,4,0,"rectangular",57.9731429049345,50.7467849132281,24.4804911299161,11,17
"1343",50,43,1,4,0,"rectangular",45.5431027620942,32.1887569819501,24.2585614222749,18,10
"1344",50,44,1,4,0,"rectangular",57.1950662973089,16.1562621773883,15.453438344621,8,12
"1345",50,45,1,4,0,"rectangular",51.1612427235929,28.7719854276124,12.5389941788838,10,9
"1346",50,46,1,4,0,"rectangular",50.9737483546321,30.8905176911597,20.075158079446,8,17
"1347",50,47,1,4,0,"rectangular",49.4335159331072,37.6100973117198,33.8099096508461,8,7
"1348",50,48,1,4,0,"rectangular",87.7854761326946,35.3792134723421,31.2149427782749,10,12
"1349",50,49,1,4,0,"rectangular",84.8300903201381,44.0303838835521,23.1687677983098,11,15
"1350",50,50,1,4,0,"rectangular",50.4879499682639,28.7201940277778,22.5726766352777,15,8
"1351",50,51,1,4,0,"rectangular",57.024206165646,30.0178925900968,24.801041958497,9,36
"1352",50,52,1,4,0,"rectangular",34.968454432338,14.8110573185192,24.3673001756753,10,14
"1353",50,53,1,4,0,"rectangular",46.9376130739537,24.5789169550324,19.6653050842367,13,21
"1354",50,54,1,4,0,"rectangular",46.0247276955762,21.225961666354,24.6981459972998,7,10
"1355",50,55,1,4,0,"rectangular",30.1901406459216,26.4075354827205,28.5527406261269,20,10
"1356",50,56,1,4,0,"rectangular",49.9108780835669,33.7316920707839,38.6776263692798,18,7
"1357",50,57,1,4,0,"rectangular",89.2481936084356,50.1880548547497,60.5017225037849,10,21
"1358",50,58,1,4,0,"rectangular",38.978155015931,24.7060764644241,18.9565211640937,12,15
"1359",50,59,1,4,0,"rectangular",66.8503065640245,17.9816972627825,9.13013288245797,11,17
"1360",50,60,1,4,0,"rectangular",57.4774026944101,44.3944969581127,37.3310132096475,9,21
"1361",50,61,1,4,0,"rectangular",40.3720162419103,21.1895424197281,17.0670085505475,8,13
"1362",50,62,1,4,0,"rectangular",32.2648572353916,17.2886439984979,19.5865698236623,14,8
"1363",50,63,1,4,0,"rectangular",38.0547526406382,14.4043090945007,7.53760264176123,14,14
"1364",50,64,1,4,0,"rectangular",38.3195546584865,11.3326366769394,10.0045952483509,9,13
"1365",50,65,1,4,0,"rectangular",40.2792918230737,17.1984733513585,16.7618929267042,18,10
"1366",50,66,1,4,0,"rectangular",49.1476192847831,46.6103594656566,36.8299201309478,17,25
"1367",50,67,1,4,0,"rectangular",57.0305874699666,49.3439340454892,27.0036299304076,33,18
"1368",50,68,1,4,0,"rectangular",53.6693776048999,50.4157422675926,39.1585280509496,15,11
"1369",50,69,1,4,0,"rectangular",43.5110527457829,26.700277087698,23.6687450713432,8,24
"1370",50,70,1,4,0,"rectangular",51.1036094294268,38.6033633168027,38.8558276712239,14,8
"1371",50,71,1,4,0,"rectangular",45.3853509018077,41.1123432302319,36.9175310548244,9,11
"1372",50,72,1,4,0,"rectangular",40.0926503039075,28.8887224238681,21.5064759724735,7,17
"1373",50,73,1,4,0,"rectangular",49.7656667837212,37.7714821614158,19.6355463885879,20,12
"1374",50,74,1,4,0,"rectangular",45.3652061624268,19.8381060145472,16.032099102332,9,27
"1375",50,75,1,4,0,"rectangular",54.1878042100013,22.4182903415047,21.983885083087,21,8
"1376",50,76,1,4,0,"rectangular",54.3653528682382,43.1967282925189,44.721654916089,7,7
"1377",50,77,1,4,0,"rectangular",47.2938256493325,18.7137450517402,17.0739209109794,15,9
"1378",50,78,1,4,0,"rectangular",54.8359982433985,20.4985350699338,11.5093221396082,10,10
"1379",50,79,1,4,0,"rectangular",48.9322840176196,11.2885207845446,12.1417058480827,8,10
